Configuration,Macro-F1,Accuracy,Precision,Recall,Status,Source,EvidencePath,Notes
ML_Only,0.7187,0.8,0.7454,0.723,available,Phase 1 evaluation artifact,/Users/subhammahapatra/Downloads/agastya/results/phase1/results.json,No validated artifact found.
DL_Only,0.7586199555419356,0.8261562998405104,,,available,Phase 2 evaluation artifact,/Users/subhammahapatra/Downloads/agastya/results/phase2/results.json,Precision/Recall unavailable in current Phase 2 artifact.
Hybrid,0.8658933658933657,0.8823529411764706,0.8982683982683982,0.8410714285714286,available,Phase 3 hybrid evaluation artifact,/Users/subhammahapatra/Downloads/agastya/reports/phase3/hybrid_eval.json,Strictly loaded from generated hybrid_eval.json.
